tweet_id,H1,H2,H3,H1_conf,H2_conf,H3_conf,I1,I2,I3,I1_conf,I2_conf,I3_conf,H_set1,I_set1,H_set2,I_set2,H_set3,I_set3
1201295682394566657,hostile,hostile,hostile,4,4,4,gender,gender,none,5,5,5,hostile,gender,hostile,gender,hostile,gender
1201295682394566657,hostile,hostile,hostile,4,4,4,"race,religion",race,"race,religion",5,5,5,hostile,race,hostile,race,hostile,"religion,race"
1201309842771722242,hostile,hostile,hostile,5,5,5,gender,gender,none,5,5,5,hostile,gender,hostile,gender,hostile,gender
1201309842771722242,hostile,not hostile,not hostile,4,4,4,none,none,none,5,5,5,not hostile,none,not hostile,none,not hostile,none
1201364839173644288,hostile,hostile,hostile,5,5,5,gender,gender,race,3,3,3,hostile,gender,hostile,gender,hostile,gender
1201364839173644288,not hostile,hostile,not hostile,5,5,5,none,race,none,5,5,5,not hostile,none,not hostile,none,not hostile,none
1201377498979880962,hostile,hostile,hostile,5,5,5,gender,gender,gender,5,5,5,hostile,gender,hostile,gender,hostile,gender
1201377498979880962,not hostile,not hostile,not hostile,5,5,5,none,none,none,5,5,5,not hostile,none,not hostile,none,not hostile,none
1201415129268707328,hostile,hostile,hostile,5,5,5,gender,gender,gender,5,5,5,hostile,gender,hostile,gender,hostile,"gender,race"
1201415129268707328,not hostile,not hostile,not hostile,5,5,5,none,none,none,5,5,5,not hostile,none,not hostile,none,not hostile,none
1201459710521696256,hostile,hostile,hostile,5,5,5,gender,gender,gender,5,5,5,hostile,gender,hostile,gender,hostile,gender
1201459710521696256,hostile,not hostile,not hostile,5,5,5,none,none,none,5,5,5,not hostile,none,not hostile,none,not hostile,none
1201491274559344641,hostile,hostile,hostile,5,5,5,gender,gender,gender,5,5,5,hostile,gender,hostile,gender,hostile,gender
1201491274559344641,hostile,hostile,hostile,3,3,3,gender,gender,gender,5,5,5,hostile,gender,hostile,gender,hostile,gender
1201531063958491138,hostile,hostile,hostile,5,5,5,gender,gender,gender,5,5,5,hostile,gender,hostile,gender,hostile,gender
1201531063958491138,not hostile,hostile,hostile,4,4,4,none,none,none,5,5,5,not hostile,none,hostile,none,hostile,none
1201537700387598337,hostile,hostile,hostile,5,5,5,gender,"gender,race",gender,5,5,5,hostile,gender,hostile,gender,hostile,gender
1201537700387598337,not hostile,not hostile,not hostile,5,5,5,none,none,none,5,5,5,hostile,none,not hostile,none,not hostile,none
