id,tweet_id,H1,H2,H3,I1,I2,I3,hostility_set1,identity_set1,hostility_set2,identity_set2,hostility_set3,identity_set3
9,1260250249697931272,hostile,hostile,hostile,gender,gender,none,hostile,gender,hostile,gender,hostile,gender
10, 1497727514246842185,hostile,hostile,hostile,gender,gender,none,hostile,gender,hostile,gender,hostile,gender
13, 1359053283884223459,hostile,hostile,hostile,gender,gender,race,hostile,gender,hostile,gender,hostile,gender
15, 1332858653606179285,hostile,hostile,hostile,gender,gender,gender,hostile,gender,hostile,gender,hostile,gender
16, 1383083896983791322,hostile,hostile,hostile,gender,gender,gender,hostile,gender,hostile,gender,hostile,"gender,race"
17, 1435304790547917267,hostile,hostile,hostile,gender,gender,gender,hostile,gender,hostile,gender,hostile,gender
18, 1522280533483525862,hostile,hostile,hostile,gender,gender,gender,hostile,gender,hostile,gender,hostile,gender
23, 1576628041550070511,hostile,hostile,hostile,gender,gender,gender,hostile,gender,hostile,gender,hostile,gender
25, 1355516217480148742,hostile,hostile,hostile,gender,"gender,race",gender,hostile,gender,hostile,gender,hostile,gender
26, 1487214273005834767,hostile,hostile,hostile,gender,"gender,race",gender,hostile,gender,hostile,gender,hostile,gender
28, 1232366980916628538,hostile,hostile,hostile,gender,none,race,hostile,gender,hostile,gender,hostile,none
30, 1248247216272674671,hostile,hostile,hostile,gender,none,gender,hostile,none,hostile,none,hostile,none
32, 1336228542392060092,hostile,hostile,hostile,gender,none,gender,hostile,gender,hostile,gender,hostile,gender
33, 1257680670409710331,hostile,hostile,hostile,"gender,race",gender,race,hostile,religion,hostile,gender,hostile,"gender,race"
34, 1306491217469017525,hostile,hostile,hostile,"gender,race",gender,"race,gender",not hostile,none,hostile,gender,hostile,"gender,race"
35, 1253852162873152834,hostile,hostile,hostile,"gender,race","gender,race",none,hostile,race,hostile,gender,hostile,"gender,race"
36, 1443414875070566481,hostile,hostile,hostile,"gender,race","gender,race","race,gender",hostile,gender,hostile,gender,hostile,"gender,race"
37, 1504057195484495476,hostile,hostile,hostile,"gender,race","gender,religion","gender,religion",hostile,gender,hostile,gender,hostile,"religion,gender"
38, 1242771410508153359,hostile,hostile,hostile,"gender,race",none,race,not hostile,none,hostile,gender,hostile,none
39, 1522028263450510164,hostile,hostile,hostile,"gender,race","race,gender","gender,race",hostile,race,hostile,race,hostile,"gender,race"
44, 1259582543626200578,hostile,hostile,hostile,none,gender,none,hostile,none,hostile,none,hostile,none
54, 1493244796680519008,hostile,hostile,hostile,none,"gender,race",none,hostile,race,hostile,gender,hostile,"gender,race"
56, 1313716097560408228,hostile,hostile,hostile,none,none,none,hostile,none,hostile,none,hostile,none
58, 1329478209982534398,hostile,hostile,hostile,none,none,none,hostile,race,hostile,none,hostile,none
59, 1365282091633454206,hostile,hostile,hostile,none,none,none,hostile,race,hostile,none,hostile,none
60, 1212580015508118343,hostile,hostile,hostile,none,none,none,not hostile,none,hostile,none,hostile,none
62, 1302989747205773253,hostile,hostile,hostile,none,none,none,hostile,gender,hostile,none,hostile,none
63, 1418850040869872244,hostile,hostile,hostile,none,none,none,hostile,none,hostile,none,hostile,none
64, 1593828598949797161,hostile,hostile,hostile,none,none,none,hostile,none,hostile,none,hostile,none
67, 1265956541707279726,hostile,hostile,hostile,none,none,none,hostile,none,hostile,none,hostile,none
76, 1444828568433108051,hostile,hostile,hostile,none,none,none,hostile,none,hostile,none,hostile,none
79, 1451960343370667784,hostile,hostile,hostile,none,none,none,hostile,none,hostile,none,hostile,none
81, 1321340527197226895,hostile,hostile,hostile,none,none,"race,religion",hostile,gender,hostile,none,hostile,none
82, 1466425124154764858,hostile,hostile,hostile,none,none,none,hostile,none,hostile,none,hostile,none
92, 1294098551353780586,hostile,hostile,hostile,none,none,none,hostile,none,hostile,none,hostile,none
99, 1281398340818092520,hostile,hostile,hostile,none,none,none,hostile,none,hostile,none,hostile,none
111, 1271344318932763353,hostile,hostile,hostile,none,none,none,hostile,none,hostile,none,hostile,none
112, 1272989348001308918,hostile,hostile,hostile,none,none,none,hostile,none,hostile,none,hostile,none
115, 1516640798528376493,hostile,hostile,hostile,none,none,none,hostile,none,hostile,none,hostile,none
122, 1214235081717333816,hostile,hostile,hostile,none,none,none,hostile,none,hostile,none,hostile,none
123, 1498846742051564146,hostile,hostile,hostile,none,none,none,hostile,none,hostile,none,hostile,none
137, 1368653458014664158,hostile,hostile,hostile,none,none,none,hostile,none,hostile,none,hostile,none
143, 1413556757629684170,hostile,hostile,hostile,none,none,none,hostile,none,hostile,none,hostile,none
146, 1549291315817514596,hostile,hostile,hostile,none,none,none,hostile,none,hostile,none,hostile,none
153, 1272799466093656665,hostile,hostile,hostile,none,none,none,hostile,none,hostile,none,hostile,none
154, 1329940898850279840,hostile,hostile,hostile,none,none,none,hostile,none,hostile,none,hostile,none
162, 1528437642852115839,hostile,hostile,hostile,none,none,none,hostile,none,hostile,none,hostile,none
163, 1292850215498324966,hostile,hostile,hostile,none,none,none,hostile,none,hostile,none,hostile,none
165, 1348542500994511801,hostile,hostile,hostile,none,none,none,hostile,none,hostile,none,hostile,none
170, 1288558061482460886,hostile,hostile,hostile,none,none,none,hostile,none,hostile,none,hostile,none
171, 1507610776660593088,hostile,hostile,hostile,none,none,none,hostile,none,hostile,none,hostile,none
175, 1273000625210669472,hostile,hostile,hostile,none,race,none,hostile,none,hostile,none,hostile,none
176, 1203678620703152587,hostile,hostile,hostile,none,race,none,hostile,race,hostile,race,hostile,race
179, 1357650002507819659,hostile,hostile,hostile,none,race,race,hostile,race,hostile,race,hostile,race
181, 1476866206489247960,hostile,hostile,hostile,none,race,none,hostile,none,hostile,none,hostile,none
183, 1523965545749210327,hostile,hostile,hostile,none,religion,none,hostile,race,hostile,none,hostile,none
184, 1216361106940000402,hostile,hostile,hostile,race,gender,race,hostile,none,hostile,race,hostile,race
188, 1571449345501220015,hostile,hostile,hostile,race,none,none,hostile,none,hostile,none,hostile,none
